1,C and pointer,KennethA· Reek,5
2,Programmer Interview Guide (5th edition),[the] GayleLaakmannMcDowell,5
3,Programmer code interview guide: IT enterprise algorithm and data structure problem optimal solution,Left cloud,5
4,Design and build websites with HTML & CSS,[the] JonDuckett,5
5,The professionalism of programmers,[the] RobertC · Martin,5
6,Raspberry PI starts playing with Linux,Go i'm gone.,5
7,Yuhiro Matsumoto: Design and implementation of programming languages,Hirohiro Matsumoto,5
8,The Definitive guide to JavaScript (6th edition),DavidFlanagan,5
9,The tao of programming,GeoffreyJames,5
10,Introduction to Computer Science (12th edition),[the] J.G lennBrookshear,5
11,Designing Data-Intensive Applications,MartinKleppmann,5
12,Code of the pulp,Nishio Takazu,5
13,In-depth understanding of Apache Dubbo and combat,Notions of pole,5
14,C Programming,Tan Haoqiang,5
15,R Data Science,[New Zealand] Hadley Wickham,5
16,"Object-oriented Sunflower: Ideas, Techniques and Practices",Edited by Li Yunhua,5
17,Through the computer fog,sasihorfswe,5
18,Test-driven development,KentBeck,5
19,SQL anti-patterns,[the] BillKarwin,5
20,The code of,Michael Connell,5
21,"""Stupid way"" to learn Python",[Ireland] Shaw,5
22,Windows hacker programming techniques in detail,GanDiWen,5
23,C Pitfalls and defects,Mr Koenig,5
24,Refactoring (Version 2),MartinFowler,5
25,Detective algorithm,Jeremy Kubica,5
26,Compilation principle,AlfredV. Aho,5
27,Analysis of Python Data Structures and Algorithms (version 2),Bradley Miller,5
28,Python language and its applications,[the] BillLubanovic,5
29,Graphic cryptography,Jie Chenghao,5
30,Programming practice,[the] BrianW Kernighan,5
31,Algorithms,RobertSedgewick,5
32,More Effective C++,Meyer (ScottMeyers),5
33,Computer network,JamesF. Kurose,5
34,An introduction to algorithms,[the] UdiManber,5
35,C++ Primer,StanleyB. Lippman,5
36,Linux command line overview,"Salt, (WilliamE Shotts)",5
37,Diagrams of data structures and algorithms,Jay Wingo,5
38,The Art of Readable Code,DustinBoswell,5
39,Go Language learning notes,The rain mark,5
40,"The Elements of Programming Style, 2nd Edition",BrianW. Kernighan,5
41,Introduction and Practice of R language,[the] GarrettGrolemund,5
42,hackers,StevenLevy,5
43,The Definitive Guide to Python Web crawlers (2nd edition),Ryan Mitchell,5
44,C Security coding standard,RobertC. Seacord,5
45,Deep Learning with Python,FrancoisChollet,5
46,Dream broken code,ScottRosenberg,5
47,"Python Learning Manual (Original book, 5th edition)",Mark Lutz,5
48,UNIX Programming art,"[the] EricS, Raymond",5
49,Python neural network programming,[Britain] TariqRashid,5
50,Continuous delivery,JezHumble,5
51,"Java introduction 1, 2, 3",ZangMeng,5
52,Build the method of,Zou xin,5
53,New thinking of C++ design,AndreiAlexandrescu (beauty),5
54,Software Foundations,BenjaminC. Pierce,5
55,Programmer Interview Guide (6th edition),GayleLaakmannMcDowell,5
56,Transformation of enterprise IT architecture: Alibaba in Taiwan strategic thought and structure combat,Zhong hua,5
57,TCP/IP (5th edition),Takeshita Takashi,5
